array_type,algorithm,n,time,ops
random,selection,100,95.59496073052287,20819
random,selection,200,353.447477100417,81749
random,selection,300,871.4216155931354,182770
random,selection,400,1780.3808627650142,323886
random,selection,500,2917.945794761181,504953
random,selection,600,4270.298326155171,725988
random,selection,700,5889.06587800011,987275
random,selection,800,7649.555021198466,1288012
random,selection,900,9612.295818515122,1629109
random,selection,1000,12082.344115478918,2010330
random,selection,1100,14539.64343876578,2431642
random,selection,1200,17476.099154446274,2892724
random,selection,1300,20900.762437377125,3394005
random,selection,1400,23801.701619522646,3935205
random,selection,1500,27619.15076407604,4516472
random,selection,1600,30971.626676619053,5137578
random,selection,1700,35322.70678202622,5798619
random,selection,1800,40238.38244029321,6499599
random,selection,1900,45243.40576608665,7240708
random,selection,2000,51120.115000521764,8022143
random,bubble,100,205.1417250186205,33146
random,bubble,200,829.55586258322,137220
random,bubble,300,1843.0591968353838,300788
random,bubble,400,3746.87418108806,556719
random,bubble,500,5918.180797016248,873511
random,bubble,600,8796.490017557517,1257010
random,bubble,700,12137.67165900208,1698244
random,bubble,800,16077.739237807691,2213115
random,bubble,900,20634.26330103539,2780579
random,bubble,1000,26509.59901395254,3461052
random,bubble,1100,32335.87336377241,4186419
random,bubble,1200,38883.97095375694,4989306
random,bubble,1300,46088.940863264725,5884455
random,bubble,1400,53936.01080053486,6828237
random,bubble,1500,62498.97833680734,7852915
random,bubble,1600,71109.54913659953,8923417
random,bubble,1700,81736.39929736964,10060555
random,bubble,1800,92787.06918354146,11266789
random,bubble,1900,102671.6775028035,12531899
random,bubble,2000,112685.00508391298,13898663
random,insertion,100,87.50675828196108,16906
random,insertion,200,342.19075576402247,66664
random,insertion,300,745.1142626814544,145738
random,insertion,400,1530.008320696652,278096
random,insertion,500,2561.2975389230996,438986
random,insertion,600,3860.010859789327,632013
random,insertion,700,5320.855779573321,836135
random,insertion,800,6807.439138647169,1082873
random,insertion,900,8811.744141858071,1351409
random,insertion,1000,10941.94991630502,1695307
random,insertion,1100,13370.643316302449,2050433
random,insertion,1200,16182.302499655636,2442806
random,insertion,1300,19327.55669928156,2923421
random,insertion,1400,23098.93827768974,3402356
random,insertion,1500,26304.521618876606,3912070
random,insertion,1600,30384.983278345317,4434405
random,insertion,1700,34310.60753995553,4988093
random,insertion,1800,38228.91246411018,5564818
random,insertion,1900,42190.49676088616,6162025
random,insertion,2000,47093.66745897569,6850183
random,counting,100,184.30913798511028,26158
random,counting,200,194.6983567904681,28558
random,counting,300,216.75830241292715,31102
random,counting,400,248.35660122334957,33502
random,counting,500,275.42170137166977,35902
random,counting,600,296.145937172696,38302
random,counting,700,319.24745300784707,40780
random,counting,800,337.70500333048403,43186
random,counting,900,360.8816966880113,45586
random,counting,1000,378.08498251251876,47986
random,counting,1100,402.39587891846895,50386
random,counting,1200,421.6908442322165,52786
random,counting,1300,442.7200788632035,55198
random,counting,1400,466.9842799194157,57598
random,counting,1500,473.20085810497403,59998
random,counting,1600,506.3382408116013,62398
random,counting,1700,504.3008364737034,64798
random,counting,1800,522.5334584247321,67198
random,counting,1900,541.7849612422287,69598
random,counting,2000,572.1925129182637,71998
random,merge,100,65.23588439449668,9014
random,merge,200,144.1701245494187,20620
random,merge,300,225.34422343596816,33087
random,merge,400,309.2491766437888,46367
random,merge,500,394.9450224172324,59672
random,merge,600,497.7575177326798,73896
random,merge,700,599.6274936478585,88476
random,merge,800,683.1707840319723,103026
random,merge,900,787.0974589604884,117651
random,merge,1000,883.7616187520325,132276
random,merge,1100,1008.1942158285527,147699
random,merge,1200,1106.253321049735,163369
random,merge,1300,1216.5241362527013,179114
random,merge,1400,1316.1974970716983,195144
random,merge,1500,1425.5708386190236,210824
random,merge,1600,1537.8341998439282,226969
random,merge,1700,1626.8150159157813,242779
random,merge,1800,1768.3441587723792,258869
random,merge,1900,1871.0608640685678,274934
random,merge,2000,1978.2641576603053,290669
random,quick,100,41.80080140940845,6339
random,quick,200,94.63256690651178,13997
random,quick,300,150.5708205513656,23533
random,quick,400,206.98998239822686,30809
random,quick,500,276.40916290692985,40109
random,quick,600,328.6307805683464,47569
random,quick,700,413.7182259000838,59251
random,quick,800,476.80424293503165,68209
random,quick,900,562.8074565902352,79559
random,quick,1000,626.6051018610597,88497
random,quick,1100,708.2515605725348,100023
random,quick,1200,807.4975037015975,111675
random,quick,1300,861.4642033353448,120173
random,quick,1400,924.9308367725462,130843
random,quick,1500,984.5099539961665,138627
random,quick,1600,1063.6724799405783,149165
random,quick,1700,1127.974196569994,156775
random,quick,1800,1217.1941017732024,169623
random,quick,1900,1373.2201023958623,184653
